2024-04-26:12:22:38 INSPECTOR LOG

2024-04-26:12:22:42 sender:  1 - send_time: 12:22:41 - amount:785k $  - receiver: 0 - receive_time: 12:22:42
2024-04-26:12:23:39 sender:  1 - send_time: 12:23:39 - amount:282k $  - receiver: 0 - receive_time: 12:23:39
2024-04-26:12:23:40 sender:  2 - send_time: 12:23:24 - amount:412k $  - receiver: 0 - receive_time: 12:23:40
2024-04-26:12:23:40 sender:  1 - send_time: 12:23:28 - amount:428k $  - receiver: 2 - receive_time: 12:23:40
2024-04-26:12:23:41 sender:  1 - send_time: 12:23:40 - amount:166k $  - receiver: 0 - receive_time: 12:22:52
2024-04-26:12:23:41 sender:  2 - send_time: 12:23:28 - amount:490k $  - receiver: 0 - receive_time: 12:23:41
2024-04-26:12:23:42 sender:  0 - send_time: 12:23:19 - amount:304k $  - receiver: 2 - receive_time: 12:23:42
2024-04-26:12:23:43 sender:  2 - send_time: 12:23:23 - amount:504k $  - receiver: 1 - receive_time: 12:23:43
2024-04-26:12:23:43 sender:  2 - send_time: 12:23:30 - amount:694k $  - receiver: 0 - receive_time: 12:23:43
2024-04-26:12:23:44 sender:  0 - send_time: 12:23:22 - amount:705k $  - receiver: 2 - receive_time: 12:23:44
2024-04-26:12:23:45 sender:  1 - send_time: 12:23:32 - amount:539k $  - receiver: 2 - receive_time: 12:23:45
2024-04-26:12:23:45 sender:  0 - send_time: 12:23:18 - amount:996k $  - receiver: 1 - receive_time: 12:23:45
2024-04-26:12:23:45 sender:  2 - send_time: 12:23:25 - amount:274k $  - receiver: 1 - receive_time: 12:23:45
2024-04-26:12:23:45 sender:  0 - send_time: 12:23:23 - amount:6k $  - receiver: 2 - receive_time: 12:23:45
2024-04-26:12:23:46 sender:  1 - send_time: 12:23:40 - amount:166k $  - receiver: 0 - receive_time: 12:23:45
2024-04-26:12:23:46 sender:  0 - send_time: 12:23:19 - amount:394k $  - receiver: 1 - receive_time: 12:23:46
2024-04-26:12:23:46 sender:  2 - send_time: 12:23:36 - amount:661k $  - receiver: 0 - receive_time: 12:23:46
2024-04-26:12:23:48 sender:  1 - send_time: 12:23:42 - amount:948k $  - receiver: 0 - receive_time: 12:23:48
2024-04-26:12:23:48 sender:  2 - send_time: 12:23:38 - amount:476k $  - receiver: 0 - receive_time: 12:23:48
2024-04-26:12:23:48 sender:  1 - send_time: 12:23:37 - amount:149k $  - receiver: 2 - receive_time: 12:23:48
2024-04-26:12:23:49 sender:  0 - send_time: 12:23:21 - amount:907k $  - receiver: 1 - receive_time: 12:23:49
2024-04-26:12:23:49 sender:  0 - send_time: 12:23:25 - amount:91k $  - receiver: 2 - receive_time: 12:23:49
2024-04-26:12:23:49 sender:  2 - send_time: 12:23:26 - amount:33k $  - receiver: 1 - receive_time: 12:23:49
2024-04-26:12:23:50 sender:  1 - send_time: 12:23:39 - amount:117k $  - receiver: 2 - receive_time: 12:23:50
2024-04-26:12:23:50 sender:  0 - send_time: 12:23:23 - amount:386k $  - receiver: 1 - receive_time: 12:23:50
2024-04-26:12:23:50 sender:  2 - send_time: 12:23:39 - amount:346k $  - receiver: 0 - receive_time: 12:23:50
2024-04-26:12:23:51 sender:  1 - send_time: 12:23:44 - amount:509k $  - receiver: 0 - receive_time: 12:23:51
2024-04-26:12:23:51 sender:  0 - send_time: 12:23:24 - amount:276k $  - receiver: 1 - receive_time: 12:23:51
2024-04-26:12:23:52 sender:  1 - send_time: 12:23:51 - amount:247k $  - receiver: 0 - receive_time: 12:22:58
2024-04-26:12:23:53 sender:  0 - send_time: 12:23:27 - amount:354k $  - receiver: 2 - receive_time: 12:23:53
2024-04-26:12:23:54 sender:  2 - send_time: 12:23:40 - amount:546k $  - receiver: 0 - receive_time: 12:23:54
2024-04-26:12:23:54 sender:  0 - send_time: 12:23:28 - amount:169k $  - receiver: 2 - receive_time: 12:23:54
2024-04-26:12:23:54 
===========================================================================
Global Snapshot #2	Request Time:12:23:33	Preparation Time:12:23:54
Branch  0: Balance:998422k $     - In Channels: 1954k $   
Branch  1: Balance:995588k $     - In Channels: 3335k $   
Branch  2: Balance:994326k $     - In Channels: 6419k $   
Total Balance: 3000044k $      
===========================================================================

2024-04-26:12:23:55 sender:  2 - send_time: 12:23:30 - amount:389k $  - receiver: 1 - receive_time: 12:23:55
2024-04-26:12:23:55 sender:  0 - send_time: 12:23:26 - amount:265k $  - receiver: 1 - receive_time: 12:23:55
2024-04-26:12:23:55 sender:  1 - send_time: 12:23:51 - amount:247k $  - receiver: 0 - receive_time: 12:23:55
2024-04-26:12:23:57 sender:  2 - send_time: 12:23:43 - amount:172k $  - receiver: 0 - receive_time: 12:23:57
2024-04-26:12:23:57 sender:  0 - send_time: 12:23:30 - amount:288k $  - receiver: 2 - receive_time: 12:23:57
2024-04-26:12:23:58 sender:  1 - send_time: 12:23:43 - amount:705k $  - receiver: 2 - receive_time: 12:23:58
2024-04-26:12:23:59 sender:  1 - send_time: 12:23:55 - amount:230k $  - receiver: 0 - receive_time: 12:23:59
2024-04-26:12:23:59 sender:  2 - send_time: 12:23:31 - amount:596k $  - receiver: 1 - receive_time: 12:23:59
2024-04-26:12:24:00 sender:  0 - send_time: 12:23:27 - amount:722k $  - receiver: 1 - receive_time: 12:24:00
2024-04-26:12:24:00 sender:  2 - send_time: 12:23:33 - amount:362k $  - receiver: 1 - receive_time: 12:24:00
2024-04-26:12:24:01 sender:  1 - send_time: 12:23:44 - amount:624k $  - receiver: 2 - receive_time: 12:24:01
2024-04-26:12:24:01 sender:  0 - send_time: 12:23:32 - amount:282k $  - receiver: 2 - receive_time: 12:24:01
2024-04-26:12:24:02 sender:  1 - send_time: 12:23:45 - amount:518k $  - receiver: 2 - receive_time: 12:24:02
2024-04-26:12:24:02 sender:  2 - send_time: 12:23:45 - amount:144k $  - receiver: 0 - receive_time: 12:24:02
2024-04-26:12:24:02 sender:  1 - send_time: 12:24:01 - amount:129k $  - receiver: 0 - receive_time: 12:24:02
2024-04-26:12:24:02 sender:  1 - send_time: 12:23:48 - amount:108k $  - receiver: 2 - receive_time: 12:24:02
2024-04-26:12:24:02 sender:  2 - send_time: 12:23:47 - amount:907k $  - receiver: 0 - receive_time: 12:24:02
2024-04-26:12:24:03 sender:  2 - send_time: 12:23:41 - amount:1k $  - receiver: 1 - receive_time: 12:24:03
2024-04-26:12:24:03 sender:  2 - send_time: 12:23:48 - amount:884k $  - receiver: 0 - receive_time: 12:24:03
2024-04-26:12:24:04 sender:  0 - send_time: 12:23:34 - amount:457k $  - receiver: 2 - receive_time: 12:24:04
2024-04-26:12:24:04 sender:  1 - send_time: 12:24:03 - amount:266k $  - receiver: 0 - receive_time: 12:24:03
2024-04-26:12:24:05 sender:  2 - send_time: 12:23:44 - amount:234k $  - receiver: 1 - receive_time: 12:24:05
2024-04-26:12:24:05 sender:  1 - send_time: 12:23:50 - amount:350k $  - receiver: 2 - receive_time: 12:24:05
2024-04-26:12:24:05 sender:  1 - send_time: 12:23:52 - amount:202k $  - receiver: 2 - receive_time: 12:24:05
2024-04-26:12:24:05 sender:  0 - send_time: 12:23:32 - amount:337k $  - receiver: 1 - receive_time: 12:24:05
2024-04-26:12:24:06 sender:  2 - send_time: 12:23:49 - amount:888k $  - receiver: 0 - receive_time: 12:24:06
2024-04-26:12:24:07 sender:  0 - send_time: 12:23:33 - amount:921k $  - receiver: 1 - receive_time: 12:24:07
2024-04-26:12:24:07 sender:  0 - send_time: 12:23:35 - amount:79k $  - receiver: 2 - receive_time: 12:24:07
2024-04-26:12:24:08 sender:  2 - send_time: 12:23:47 - amount:59k $  - receiver: 1 - receive_time: 12:24:08
2024-04-26:12:24:08 sender:  1 - send_time: 12:23:53 - amount:338k $  - receiver: 2 - receive_time: 12:24:08
2024-04-26:12:24:08 sender:  1 - send_time: 12:24:06 - amount:22k $  - receiver: 0 - receive_time: 12:24:08
2024-04-26:12:24:09 sender:  2 - send_time: 12:23:50 - amount:320k $  - receiver: 1 - receive_time: 12:24:09
2024-04-26:12:24:10 sender:  1 - send_time: 12:24:08 - amount:161k $  - receiver: 0 - receive_time: 12:24:10
2024-04-26:12:24:11 sender:  0 - send_time: 12:23:35 - amount:625k $  - receiver: 1 - receive_time: 12:24:11
2024-04-26:12:24:11 sender:  0 - send_time: 12:23:39 - amount:545k $  - receiver: 2 - receive_time: 12:24:11
2024-04-26:12:24:12 sender:  2 - send_time: 12:23:51 - amount:624k $  - receiver: 0 - receive_time: 12:24:12
2024-04-26:12:24:12 sender:  1 - send_time: 12:23:56 - amount:456k $  - receiver: 2 - receive_time: 12:24:12
2024-04-26:12:24:14 sender:  0 - send_time: 12:23:37 - amount:337k $  - receiver: 1 - receive_time: 12:24:14
2024-04-26:12:24:14 sender:  1 - send_time: 12:24:00 - amount:362k $  - receiver: 2 - receive_time: 12:24:14
2024-04-26:12:24:15 sender:  2 - send_time: 12:23:51 - amount:811k $  - receiver: 1 - receive_time: 12:24:15
2024-04-26:12:24:15 sender:  0 - send_time: 12:23:42 - amount:442k $  - receiver: 2 - receive_time: 12:24:15
2024-04-26:12:24:16 sender:  0 - send_time: 12:23:38 - amount:122k $  - receiver: 1 - receive_time: 12:24:16
2024-04-26:12:24:16 sender:  1 - send_time: 12:24:11 - amount:385k $  - receiver: 0 - receive_time: 12:24:16
2024-04-26:12:24:17 sender:  0 - send_time: 12:23:40 - amount:8k $  - receiver: 1 - receive_time: 12:24:17
2024-04-26:12:24:17 sender:  2 - send_time: 12:23:53 - amount:11k $  - receiver: 0 - receive_time: 12:24:17
2024-04-26:12:24:17 sender:  1 - send_time: 12:24:03 - amount:160k $  - receiver: 2 - receive_time: 12:24:17
2024-04-26:12:24:17 sender:  0 - send_time: 12:23:43 - amount:780k $  - receiver: 2 - receive_time: 12:24:17
2024-04-26:12:24:18 sender:  0 - send_time: 12:23:42 - amount:189k $  - receiver: 1 - receive_time: 12:24:18
2024-04-26:12:24:18 sender:  0 - send_time: 12:23:45 - amount:582k $  - receiver: 2 - receive_time: 12:24:18
2024-04-26:12:24:19 sender:  2 - send_time: 12:23:54 - amount:284k $  - receiver: 1 - receive_time: 12:24:19
2024-04-26:12:24:20 sender:  2 - send_time: 12:23:54 - amount:596k $  - receiver: 0 - receive_time: 12:24:20
2024-04-26:12:24:21 sender:  0 - send_time: 12:23:49 - amount:927k $  - receiver: 2 - receive_time: 12:24:21
2024-04-26:12:24:21 sender:  1 - send_time: 12:24:13 - amount:236k $  - receiver: 0 - receive_time: 12:24:21
2024-04-26:12:24:22 sender:  1 - send_time: 12:24:05 - amount:734k $  - receiver: 2 - receive_time: 12:24:22
2024-04-26:12:24:22 sender:  0 - send_time: 12:23:45 - amount:763k $  - receiver: 1 - receive_time: 12:24:22
2024-04-26:12:24:23 sender:  2 - send_time: 12:23:56 - amount:646k $  - receiver: 1 - receive_time: 12:24:23
2024-04-26:12:24:24 sender:  1 - send_time: 12:24:17 - amount:453k $  - receiver: 0 - receive_time: 12:24:24
2024-04-26:12:24:24 sender:  0 - send_time: 12:23:47 - amount:486k $  - receiver: 1 - receive_time: 12:24:24
2024-04-26:12:24:24 sender:  0 - send_time: 12:23:51 - amount:943k $  - receiver: 2 - receive_time: 12:24:24
2024-04-26:12:24:25 sender:  0 - send_time: 12:23:52 - amount:743k $  - receiver: 2 - receive_time: 12:24:25
2024-04-26:12:24:25 sender:  2 - send_time: 12:23:56 - amount:102k $  - receiver: 0 - receive_time: 12:24:25
2024-04-26:12:24:26 sender:  1 - send_time: 12:24:09 - amount:308k $  - receiver: 2 - receive_time: 12:24:26
2024-04-26:12:24:27 sender:  0 - send_time: 12:23:49 - amount:332k $  - receiver: 1 - receive_time: 12:24:27
2024-04-26:12:24:27 sender:  2 - send_time: 12:24:26 - amount:490k $  - receiver: 0 - receive_time: 12:23:41
2024-04-26:12:24:27 sender:  1 - send_time: 12:24:10 - amount:241k $  - receiver: 2 - receive_time: 12:24:27
2024-04-26:12:24:27 sender:  0 - send_time: 12:23:55 - amount:873k $  - receiver: 2 - receive_time: 12:24:27
2024-04-26:12:24:28 sender:  1 - send_time: 12:24:24 - amount:254k $  - receiver: 0 - receive_time: 12:24:28
2024-04-26:12:24:30 sender:  2 - send_time: 12:23:58 - amount:970k $  - receiver: 0 - receive_time: 12:24:30
2024-04-26:12:24:30 sender:  2 - send_time: 12:23:57 - amount:153k $  - receiver: 1 - receive_time: 12:24:30
2024-04-26:12:24:31 sender:  0 - send_time: 12:23:57 - amount:608k $  - receiver: 2 - receive_time: 12:24:31
2024-04-26:12:24:31 sender:  0 - send_time: 12:23:54 - amount:673k $  - receiver: 1 - receive_time: 12:24:31
2024-04-26:12:24:31 sender:  1 - send_time: 12:24:13 - amount:873k $  - receiver: 2 - receive_time: 12:24:31
2024-04-26:12:24:32 sender:  1 - send_time: 12:24:16 - amount:940k $  - receiver: 2 - receive_time: 12:24:32
2024-04-26:12:24:33 sender:  2 - send_time: 12:23:59 - amount:576k $  - receiver: 0 - receive_time: 12:24:33
2024-04-26:12:24:33 sender:  2 - send_time: 12:24:00 - amount:997k $  - receiver: 1 - receive_time: 12:24:33
2024-04-26:12:24:34 sender:  1 - send_time: 12:24:19 - amount:727k $  - receiver: 2 - receive_time: 12:24:34
2024-04-26:12:24:34 sender:  0 - send_time: 12:23:56 - amount:369k $  - receiver: 1 - receive_time: 12:24:34
2024-04-26:12:24:34 sender:  0 - send_time: 12:24:34 - amount:743k $  - receiver: 2 - receive_time: 12:24:25
2024-04-26:12:24:34 sender:  2 - send_time: 12:24:03 - amount:430k $  - receiver: 1 - receive_time: 12:24:34
2024-04-26:12:24:35 sender:  1 - send_time: 12:24:31 - amount:772k $  - receiver: 0 - receive_time: 12:24:35
2024-04-26:12:24:35 sender:  0 - send_time: 12:24:01 - amount:34k $  - receiver: 1 - receive_time: 12:24:34
2024-04-26:12:24:36 sender:  2 - send_time: 12:24:03 - amount:811k $  - receiver: 0 - receive_time: 12:24:36
2024-04-26:12:24:36 sender:  0 - send_time: 12:24:00 - amount:240k $  - receiver: 2 - receive_time: 12:24:36
2024-04-26:12:24:36 sender:  0 - send_time: 12:24:03 - amount:283k $  - receiver: 2 - receive_time: 12:24:36
2024-04-26:12:24:37 sender:  0 - send_time: 12:24:06 - amount:908k $  - receiver: 2 - receive_time: 12:24:37
2024-04-26:12:24:38 sender:  1 - send_time: 12:22:47 - amount:780k $  - receiver: 2 - receive_time: 12:24:38
